,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,9,42,11,82,8,20,3,9,49,20,45,19,9,84,6,6,68,72,90,76,88,4,47,79,83,4,84,88,73,68,67,61,28,40,18,66,41,49,3,5,65,70,24,66,94,92,36,15,86,48,84,4,32,69,4,21,74,20,92,19,17,11,3,21,20,66,32,92,62,0,34,14,10,62,69,97,5,85,65,46,3,91,5,26,61,79,15,86,48,93,20,69,13,99,15,55,26,12,56,64,72,51,79,57,96,3,97,83,44,37,64,3,93,13,49,48,17,93,82,86,75
1,3,71,60,46,81,69,23,69,25,89,87,38,28,24,30,75,67,26,15,35,20,29,89,64,46,40,37,75,26,37,75,74,26,62,10,13,77,56,3,17,76,53,29,81,0,17,69,64,57,59,94,20,16,39,60,36,96,31,29,37,77,3,63,11,21,44,94,55,17,73,68,92,51,43,27,62,21,77,91,84,49,77,70,99,11,22,50,57,54,37,42,65,19,41,95,49,16,4,11,51,55,98,38,87,44,37,31,49,79,82,12,56,59,83,55,53,32,34,96,99,58
2,92,27,97,9,93,43,54,1,28,79,23,83,29,63,67,6,72,17,3,75,65,63,42,12,36,3,18,86,33,33,55,18,85,5,17,71,22,52,59,29,42,16,2,38,36,94,31,55,63,52,22,27,87,11,45,65,50,85,54,8,57,85,19,78,18,26,15,21,19,83,88,13,17,55,10,64,15,24,31,78,31,68,24,45,7,92,39,78,3,53,22,97,46,34,13,98,27,98,65,39,53,74,75,70,30,41,25,95,58,88,30,23,82,9,13,20,56,30,49,87,11
3,12,98,69,48,84,87,20,63,73,67,21,93,56,83,86,15,61,39,28,23,18,99,64,81,25,63,24,58,7,38,68,2,76,27,15,77,54,23,97,95,42,5,88,56,32,84,85,6,62,42,19,86,8,79,40,27,1,97,17,92,7,29,13,52,21,60,62,3,41,61,12,2,28,9,0,65,70,44,57,18,20,42,47,8,27,17,76,58,2,33,99,12,83,40,24,97,52,34,53,8,26,7,16,34,45,94,65,59,17,79,39,20,79,30,22,7,16,40,89,64,42
4,8,5,84,68,12,31,87,53,13,41,31,74,14,46,65,71,43,88,12,80,74,12,90,38,40,81,53,28,49,79,26,53,26,71,88,72,40,60,19,16,42,1,56,87,97,85,6,34,39,34,1,15,92,24,58,50,29,91,1,80,85,18,90,54,64,75,4,28,89,31,18,98,92,84,40,14,63,5,33,52,38,12,47,75,9,39,87,21,30,21,68,42,57,91,13,87,54,49,11,2,51,44,33,21,4,96,23,42,1,81,13,84,99,53,2,22,4,2,78,92,62
5,84,35,36,58,82,33,96,67,68,52,49,65,45,60,46,71,37,2,73,95,60,95,29,39,45,58,47,60,26,46,54,3,81,41,43,42,93,61,6,10,85,69,60,28,62,96,20,94,40,80,37,60,63,10,58,59,17,58,3,90,35,68,6,95,27,25,32,77,94,5,74,16,53,6,50,91,25,74,96,20,93,43,1,79,60,9,56,88,44,12,1,37,25,22,85,56,99,73,26,65,56,93,83,43,92,22,74,80,28,32,74,28,76,70,6,72,19,65,11,82,76
6,79,55,51,41,55,95,18,77,94,32,25,80,82,0,72,45,14,50,42,45,41,77,49,65,80,4,36,62,81,6,67,21,24,34,6,28,28,9,84,32,78,99,18,96,21,88,37,65,11,90,55,44,16,8,66,29,92,81,65,91,52,27,84,46,65,78,11,9,64,1,16,30,58,52,61,3,72,7,67,44,93,24,12,73,62,12,15,17,53,92,42,83,87,16,32,57,39,32,38,87,25,92,32,9,47,33,84,58,13,82,82,75,53,17,1,38,50,56,85,65,35
7,58,24,22,23,50,29,9,56,67,69,33,42,19,32,58,44,54,2,96,52,43,31,70,85,38,37,17,86,17,14,16,65,61,46,14,70,71,58,8,84,73,19,88,49,0,37,30,65,99,82,69,66,99,3,36,80,54,99,26,92,8,29,17,82,9,55,15,97,72,19,80,62,27,58,21,31,45,9,7,29,55,20,5,33,21,98,32,95,95,86,11,90,31,23,63,50,45,0,7,38,9,50,35,8,50,79,50,34,55,22,36,92,5,42,6,93,63,70,55,47,78
8,19,5,0,37,29,34,85,22,68,24,99,0,17,5,14,2,74,49,76,0,12,94,94,0,75,58,85,4,27,61,98,23,68,37,48,41,27,65,19,32,87,78,6,13,77,38,0,90,2,70,33,28,41,67,27,82,54,34,13,44,21,92,76,14,22,18,1,11,12,73,91,19,54,91,49,11,28,86,72,17,20,6,74,16,92,87,14,61,26,19,13,64,80,44,35,85,82,91,13,93,26,67,95,89,82,37,43,3,28,30,42,71,79,77,93,41,93,47,29,5,9
9,58,75,11,8,47,80,6,5,76,74,11,92,42,74,81,85,93,15,68,39,24,52,95,78,87,28,18,22,37,41,12,14,81,67,86,14,92,32,52,39,64,34,90,48,61,86,83,88,10,21,31,96,84,95,98,26,26,13,99,84,27,97,13,16,11,14,50,48,44,8,28,71,21,87,63,97,63,49,32,37,9,90,27,29,34,86,89,70,99,26,26,95,12,85,6,87,89,91,58,37,76,44,50,69,33,35,9,14,14,67,5,33,31,27,0,27,43,85,49,20,50
