,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,55,64,22,52,66,5,30,19,93,12,82,85,42,75,14,12,38,44,11,58,84,18,32,85,6,36,5,45,23,98,19,10,70,60,81,11,95,26,68,90,51,43,9,39,82,2,26,53,48,92,78,95,0,54,32,53,75,99,57,69,54,50,67,95,16,14,77,23,15,27,90,66,41,19,72,6,54,17,52,58,69,1,43,31,86,84,47,56,81,90,25,65,7,45,41,92,36,89,55,6,19,29,64,85,39,45,85,7,29,69,59,2,26,68,90,86,84,51,17,58,60
1,64,69,45,96,49,28,98,10,18,39,31,71,9,22,73,32,16,75,93,31,85,89,83,62,5,71,56,71,1,64,49,49,64,48,77,56,10,94,47,83,93,55,19,80,59,42,39,95,91,72,48,66,63,20,49,71,57,14,34,96,83,58,65,74,67,32,9,1,66,47,95,9,38,61,84,78,91,48,20,13,75,34,20,97,40,80,85,50,6,48,45,44,24,51,67,72,26,38,45,6,36,45,56,48,60,61,30,45,98,92,5,32,33,16,17,36,19,61,88,75,16
2,41,68,22,36,6,94,33,64,26,98,43,72,48,66,69,90,33,72,7,9,39,85,4,77,8,29,34,67,14,16,40,67,92,52,14,68,46,75,23,16,91,95,23,77,56,22,62,13,54,29,13,7,66,62,47,31,43,74,24,97,12,67,65,3,20,99,98,84,57,42,93,44,0,44,27,44,69,30,78,26,34,74,25,76,11,14,75,6,1,59,73,78,89,63,53,27,72,9,77,79,77,46,30,61,8,53,54,47,8,89,6,97,45,42,16,67,78,76,35,87,75
3,73,46,28,72,87,90,45,16,73,0,16,15,37,78,66,66,25,91,66,73,68,30,98,74,66,96,57,35,7,22,58,19,74,3,10,24,30,85,81,46,60,65,19,91,31,87,99,95,95,70,66,98,97,81,33,29,3,33,4,37,55,59,27,97,94,55,70,8,9,58,31,56,23,0,11,83,64,35,88,40,55,68,42,1,78,42,93,66,85,32,4,76,72,27,84,80,0,19,49,67,14,75,16,22,75,74,94,73,65,45,33,0,86,52,67,84,10,23,79,68,63
4,51,73,52,32,6,36,11,38,30,45,66,58,84,32,40,85,6,13,36,15,50,15,70,22,54,40,28,74,1,62,25,72,93,66,85,1,50,59,40,12,25,86,98,15,17,3,3,91,81,99,6,90,68,80,46,52,73,12,52,87,91,99,19,12,65,87,76,32,56,80,93,88,46,21,60,15,60,83,19,97,83,58,15,90,66,46,98,66,86,99,10,53,53,90,44,66,99,2,98,41,17,77,22,23,70,56,20,34,17,0,41,85,31,24,76,17,83,16,83,77,99
5,18,39,40,23,63,4,94,61,35,37,22,56,53,42,43,12,61,72,9,54,29,30,16,37,50,14,90,4,17,65,33,37,58,98,29,45,37,33,53,11,69,3,43,1,79,67,80,42,71,44,70,45,82,27,91,83,78,81,0,19,54,49,3,77,97,72,40,57,72,15,67,17,25,39,81,17,31,66,75,34,43,81,77,49,73,38,42,95,30,14,0,49,47,24,89,47,12,84,82,8,45,60,70,47,14,76,57,61,86,25,7,20,36,11,83,97,65,22,86,92,13
6,27,54,96,84,33,1,58,64,72,44,73,38,13,37,66,90,28,54,45,29,42,32,22,12,42,95,30,10,73,68,96,73,35,69,77,81,1,67,16,60,17,60,90,13,62,94,78,16,50,69,11,72,37,17,73,10,87,28,50,84,3,62,73,91,8,91,6,82,68,58,65,1,60,44,38,70,60,65,87,80,9,56,82,64,68,70,99,82,67,45,62,46,22,98,61,66,71,95,89,2,2,94,91,1,38,41,27,48,67,89,58,78,12,97,12,68,66,4,80,20,27
7,84,56,92,36,72,41,29,94,85,69,59,69,67,42,41,64,2,3,34,42,51,21,21,26,65,7,99,47,81,49,38,51,91,53,45,77,69,4,39,74,12,39,44,53,86,83,23,33,94,19,66,5,80,35,19,78,18,16,98,92,35,98,26,34,58,59,69,83,28,92,84,43,0,36,90,24,22,45,94,6,20,35,89,62,43,71,35,88,95,3,9,87,39,4,14,79,84,36,23,24,10,55,18,5,9,87,10,14,87,65,1,30,66,51,79,63,87,55,63,56,5
8,67,18,32,83,57,33,79,21,36,87,54,34,45,54,59,82,52,60,13,92,17,23,13,13,88,87,11,15,67,4,6,24,10,62,76,17,65,17,49,97,75,81,94,13,67,69,91,86,53,56,9,52,35,25,46,55,6,46,36,14,59,15,68,20,39,50,90,59,25,56,50,38,38,41,11,36,19,60,46,18,99,28,95,59,72,96,4,55,87,27,94,59,46,96,14,56,19,40,29,50,56,71,39,50,29,54,60,70,94,21,87,20,35,59,72,5,95,11,83,44,31
9,46,43,31,60,1,89,54,70,91,50,15,18,2,27,93,85,49,83,69,85,62,67,82,19,13,50,66,64,70,77,72,21,75,79,71,22,48,77,51,19,86,40,56,96,50,18,66,74,49,39,97,71,94,32,24,86,67,57,80,38,73,4,87,32,44,17,28,20,17,29,61,9,20,7,92,68,97,63,5,95,23,65,30,67,20,59,41,23,51,53,74,83,4,53,2,4,1,38,75,56,74,64,33,81,17,1,33,83,86,6,14,72,93,71,21,29,25,59,28,48,56
10,52,43,96,24,21,83,65,11,57,9,31,1,96,65,17,1,43,18,56,43,31,56,53,6,74,71,3,72,24,82,22,79,90,48,37,23,84,90,93,51,5,2,95,93,44,81,9,41,13,21,60,1,53,16,8,41,47,52,71,41,52,74,31,49,47,31,20,81,36,77,75,30,58,70,82,44,68,92,39,95,99,50,4,83,26,70,14,77,12,77,57,71,55,49,3,42,71,59,94,64,3,82,37,9,70,20,21,80,79,42,25,91,2,43,39,42,11,96,79,35,53
11,58,4,44,5,19,28,48,53,16,1,32,95,94,23,69,22,15,42,64,17,61,23,93,5,97,91,61,54,57,3,55,16,89,60,16,21,57,17,88,55,56,38,9,19,14,35,26,48,23,65,15,24,4,3,19,97,51,62,95,58,48,56,10,76,66,78,14,7,0,43,71,66,9,17,76,38,71,99,67,38,69,51,54,28,73,68,75,74,1,51,46,91,50,95,84,75,13,89,53,48,15,56,58,69,37,42,95,63,12,33,94,42,70,10,73,96,34,79,26,9,77
12,31,59,56,0,60,79,44,32,29,76,26,20,21,79,30,62,81,76,92,96,69,96,20,30,97,63,64,38,29,73,80,74,22,92,59,85,34,82,79,60,51,10,0,21,0,97,98,11,90,40,5,21,94,39,31,87,87,83,81,28,6,17,33,84,78,24,23,51,60,87,82,51,24,43,51,16,67,38,69,4,1,42,51,6,72,9,71,93,82,12,48,36,27,94,33,49,64,53,31,81,67,53,58,81,48,92,65,60,96,95,44,87,4,82,55,59,7,94,80,95,53
13,33,55,16,93,29,87,20,76,84,15,59,91,26,26,14,85,57,75,3,98,2,99,94,35,16,5,16,95,71,20,77,82,76,77,97,12,50,72,54,42,77,44,25,34,34,6,84,67,77,72,35,77,44,52,10,78,5,56,26,54,26,12,54,88,7,69,42,19,6,64,44,10,0,6,71,83,12,1,24,87,44,49,32,55,51,16,29,25,29,20,96,48,1,78,32,36,16,52,38,45,8,69,68,66,7,89,57,3,66,70,51,30,52,12,17,12,36,68,5,88,85
14,54,68,56,94,90,11,96,16,93,17,85,50,54,11,64,0,23,54,83,67,88,60,79,2,32,95,13,20,10,36,3,5,94,70,95,8,52,49,60,55,22,10,86,57,71,51,58,46,72,8,33,21,32,31,29,97,29,54,20,38,62,81,28,93,14,66,82,27,28,44,72,23,10,99,71,30,3,49,39,59,20,85,67,87,30,39,94,94,82,27,47,30,25,57,33,34,29,42,78,30,42,57,87,44,57,71,68,50,24,6,41,97,49,62,14,64,28,69,26,43,85
15,74,53,56,20,66,59,49,37,9,35,56,39,27,84,2,39,71,64,80,41,66,79,68,42,26,46,30,66,23,71,67,10,79,80,75,22,23,20,29,92,21,22,58,50,60,54,88,4,22,50,82,7,10,13,27,47,78,4,32,82,86,58,89,86,59,21,0,36,19,26,6,79,48,30,17,47,52,41,74,8,76,34,62,91,5,47,76,96,9,85,92,23,97,47,82,68,40,64,19,18,67,79,92,20,44,47,45,97,27,66,20,0,95,98,55,84,16,15,32,63,29
16,28,10,18,85,12,13,83,56,75,77,40,62,88,64,41,56,86,20,2,31,41,54,50,95,40,85,71,94,53,45,53,29,88,25,95,96,0,29,59,99,22,62,7,34,28,25,62,70,38,41,25,7,48,10,97,87,0,53,22,73,66,96,64,44,17,80,90,5,65,58,54,56,21,84,49,4,20,23,6,0,42,47,38,83,7,21,25,73,88,33,64,51,41,0,6,55,57,80,99,63,27,8,64,82,80,92,94,66,68,26,46,36,55,29,45,87,6,7,26,45,57
17,42,5,0,60,54,19,32,82,51,77,23,58,6,77,27,13,65,2,83,59,13,26,34,4,23,56,58,17,7,91,77,51,80,6,15,85,67,64,26,57,67,19,84,21,75,97,29,42,4,57,18,3,60,23,50,37,20,59,18,23,34,12,65,3,5,35,88,39,10,19,73,98,53,69,16,92,45,35,11,75,6,75,27,96,63,97,82,81,65,47,81,22,5,76,87,86,46,29,9,44,23,96,8,97,51,52,21,62,22,83,74,75,87,40,78,14,75,57,5,74,84
18,39,85,92,14,40,30,52,21,48,44,24,13,52,92,76,76,55,33,99,32,29,89,5,3,16,10,1,94,55,71,82,2,30,20,82,43,57,29,18,60,35,5,18,44,23,39,62,57,20,17,97,96,22,87,74,97,84,41,52,97,92,16,95,32,82,50,87,99,26,37,51,1,73,43,65,88,27,90,27,16,82,79,6,65,6,5,12,83,76,96,87,76,36,49,37,46,15,11,97,8,43,85,82,51,97,16,52,37,81,33,42,25,64,79,86,85,88,2,43,17,70
