,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,12,21,85,16,79,75,92,21,75,74,7,10,32,8,48,55,59,36,79,68,80,98,11,0,9,10,21,92,68,37,36,3,62,63,34,90,81,10,34,69,8,90,42,74,38,91,41,78,30,97,50,96,96,36,11,57,20,13,47,2,85,58,65,38,7,18,56,87,50,81,15,21,28,59,24,39,14,39,33,92,42,26,75,79,65,84,64,9,86,69,60,80,33,72,97,12,70,43,90,12,29,53,92,39,97,48,1,13,74,44,85,29,76,77,84,92,54,33,12,68,97
1,20,81,7,98,14,40,23,89,3,74,33,82,9,99,85,67,65,41,22,1,53,77,75,13,67,72,18,99,38,44,80,40,49,35,58,67,73,21,37,92,33,49,65,46,4,79,87,63,26,54,99,22,2,75,66,93,38,19,14,88,94,10,93,97,34,33,63,33,76,99,60,13,87,39,36,4,58,28,14,15,68,46,13,79,58,8,33,4,65,85,2,60,59,54,47,44,99,69,95,67,21,97,8,90,47,44,86,87,9,73,1,32,37,53,74,25,88,14,38,54,83
2,38,68,53,29,25,49,66,1,10,23,31,46,82,8,54,72,5,25,32,19,44,64,85,21,30,93,31,70,22,11,97,76,41,2,55,88,87,64,66,70,3,99,29,70,52,33,54,65,26,50,25,76,11,10,45,1,52,56,56,81,67,59,6,68,54,6,16,74,71,14,8,39,74,45,42,53,39,59,74,40,84,31,27,93,1,70,45,94,80,93,72,20,43,6,64,92,92,69,36,83,20,43,89,77,15,71,50,51,1,61,2,90,14,60,17,73,71,99,39,53,55
3,74,45,1,4,22,35,88,66,75,18,75,84,46,28,20,49,42,89,35,96,90,37,73,23,40,87,81,66,65,25,56,38,5,24,7,99,87,17,51,7,7,29,26,5,91,12,32,37,69,24,89,79,13,55,23,88,86,14,41,26,70,53,43,55,87,43,51,12,76,7,62,35,58,56,1,79,20,29,75,26,34,69,51,73,83,51,98,90,27,87,62,22,82,62,66,73,48,96,89,2,60,3,80,64,40,80,2,30,89,46,14,90,76,91,81,52,34,41,9,72,9
4,97,11,48,43,59,47,95,79,89,63,64,2,72,78,94,99,64,97,91,89,13,94,64,27,82,90,69,89,37,99,71,99,48,72,75,59,19,58,80,90,89,73,23,78,31,81,42,67,94,61,5,53,55,50,10,93,94,28,81,29,82,66,64,98,23,95,4,92,36,49,66,87,11,47,55,31,75,53,24,49,61,68,35,8,72,22,27,99,28,72,49,68,98,35,30,7,72,14,89,63,53,10,9,38,82,88,91,95,84,66,34,31,34,41,72,80,55,53,12,50,68
5,82,73,92,50,37,46,50,80,56,36,66,62,44,85,11,76,46,53,95,37,80,56,93,96,52,83,10,12,20,17,37,87,87,85,44,87,49,40,67,77,1,57,93,0,11,58,75,24,47,18,0,29,56,43,63,69,65,86,43,12,22,20,14,27,81,35,98,78,33,2,51,4,84,87,78,9,49,18,1,88,38,29,1,9,38,80,9,8,23,5,90,92,5,27,82,47,25,97,88,38,91,7,92,28,42,81,50,3,57,82,76,32,42,75,74,62,55,80,41,39,25
6,23,60,63,90,58,81,7,86,24,24,34,9,44,70,8,64,62,13,72,71,67,47,68,18,37,17,31,60,66,78,10,23,25,51,30,58,83,20,61,25,62,57,73,29,29,22,85,47,79,64,64,39,73,41,96,11,45,46,28,73,24,36,95,59,71,69,56,90,49,35,96,59,9,87,29,65,31,75,3,95,14,61,50,69,40,46,70,80,50,55,13,88,99,20,35,14,51,7,86,59,76,94,66,45,63,13,4,90,75,78,91,58,53,29,17,73,37,38,62,62,15
7,75,78,79,54,1,65,33,98,84,27,96,86,20,35,31,65,53,27,65,8,44,0,97,22,90,52,61,9,23,32,83,48,16,8,15,89,86,58,72,58,8,62,87,50,14,18,90,11,40,22,56,24,73,3,2,79,6,10,63,73,92,89,6,7,40,77,20,22,35,94,95,80,1,81,69,64,26,49,85,94,53,82,50,20,88,95,44,49,17,56,79,90,50,53,8,95,62,62,61,23,56,35,70,85,42,36,24,53,30,5,46,96,22,38,85,18,28,71,50,27,27
8,47,6,7,45,50,50,83,21,17,71,40,50,35,34,30,23,70,67,97,85,20,76,26,62,88,93,71,65,25,46,69,49,81,78,61,57,74,72,53,96,59,28,59,85,58,85,76,97,10,29,61,73,30,43,28,92,83,56,72,48,82,17,67,69,74,59,21,12,56,41,38,91,68,95,93,87,11,21,79,15,90,25,95,5,46,57,78,69,38,73,97,75,41,6,64,80,33,1,32,31,96,26,66,47,6,35,85,80,3,14,45,20,50,38,11,81,5,47,49,29,83
9,91,31,83,99,52,11,7,36,25,2,43,60,39,24,37,98,35,68,23,54,8,34,95,66,90,99,2,92,14,88,23,63,3,54,41,81,33,19,91,37,99,88,33,31,46,77,56,19,1,81,36,66,19,18,68,22,95,42,77,94,78,2,99,30,56,63,89,24,61,4,27,18,32,49,34,33,89,0,33,92,51,24,0,45,85,38,42,84,32,88,25,53,35,73,61,40,65,27,15,93,21,69,55,12,3,5,60,19,85,39,61,58,21,91,71,97,84,59,36,21,86
