,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,75,17,0,72,7,97,12,89,38,76,29,84,64,32,85,19,56,38,11,44,53,82,78,99,86,75,37,30,81,42,98,25,59,41,17,80,16,38,23,15,42,68,11,77,99,43,54,97,28,26,34,21,82,62,31,33,31,85,9,34,70,47,61,43,89,69,37,75,81,34,63,10,85,91,13,3,2,90,87,20,49,5,42,65,83,80,82,88,75,22,5,78,6,3,30,4,69,17,4,23,98,59,7,81,43,36,12,88,89,97,12,53,71,56,91,79,30,88,64,81,2
1,26,71,38,76,35,23,76,47,26,40,18,13,83,97,6,68,20,33,71,73,81,16,87,1,60,39,51,10,65,0,18,31,67,57,89,43,50,84,28,82,41,98,41,55,97,62,97,87,34,88,17,41,31,52,58,81,94,76,91,44,65,64,80,70,24,33,60,24,15,50,21,49,6,48,14,46,77,14,66,29,67,87,11,17,50,21,1,32,99,60,66,32,70,60,14,30,10,67,66,50,8,2,14,37,66,74,53,24,5,0,21,81,99,19,76,19,51,49,12,13,71
2,93,11,98,41,26,68,54,48,89,12,51,43,52,38,83,25,72,1,67,17,41,85,41,33,64,35,18,56,0,55,55,69,48,30,37,74,5,40,55,61,32,9,26,29,16,71,80,32,49,96,85,49,87,61,31,64,99,42,45,36,58,57,16,34,3,52,41,41,32,45,33,89,25,24,5,8,31,79,12,98,44,20,15,64,65,86,91,36,34,97,81,88,26,47,5,68,16,70,37,10,80,52,61,13,63,87,47,77,8,63,65,0,63,83,77,44,10,37,64,37,9
3,7,58,58,40,19,40,66,77,76,24,65,67,71,8,24,29,29,72,30,74,80,34,1,83,34,83,79,4,85,65,53,99,41,6,24,26,59,70,75,14,13,36,92,27,17,85,43,62,98,51,7,66,96,37,43,52,76,60,47,41,6,32,33,49,53,6,36,84,53,38,7,30,36,51,88,12,11,52,97,66,78,54,76,52,77,86,47,33,74,5,27,35,56,78,79,59,10,49,95,82,86,86,48,95,7,75,21,90,10,40,76,59,89,68,60,89,24,78,16,56,12
4,51,18,24,66,69,43,35,5,91,10,3,95,83,12,70,89,67,19,82,88,96,22,30,3,58,1,75,92,88,43,93,87,9,70,54,67,53,32,7,1,70,58,46,17,92,48,77,37,11,71,34,98,25,26,25,16,75,41,67,56,25,71,87,12,88,53,40,5,9,80,77,59,94,28,4,54,91,93,99,33,55,81,48,17,75,66,44,89,18,4,12,11,63,14,87,93,42,65,93,17,52,6,99,86,14,40,99,70,17,12,4,76,75,27,59,34,21,1,78,12,90
5,40,21,56,46,44,53,97,23,84,29,67,82,80,11,24,20,30,57,98,51,88,89,37,94,38,93,4,86,79,44,37,49,87,21,32,29,32,82,76,43,31,46,34,95,54,71,64,87,23,30,18,4,61,71,71,98,6,60,48,24,90,85,10,41,22,88,26,93,28,0,87,25,21,13,58,34,4,63,36,80,15,84,97,91,81,49,0,22,80,67,25,5,74,47,43,64,47,19,60,96,97,49,53,3,25,98,21,23,45,4,88,90,20,33,22,23,34,4,1,27,40
6,62,58,38,19,51,18,99,22,21,39,3,80,98,1,46,53,89,72,82,87,26,75,28,16,38,47,14,62,6,11,97,84,60,74,1,51,31,79,29,64,33,9,39,35,35,14,54,99,38,80,68,55,58,54,75,94,34,77,50,10,45,72,21,91,43,11,22,62,19,99,7,72,7,64,85,72,23,63,81,74,44,83,73,57,46,60,81,8,67,12,71,78,65,67,24,90,68,30,1,61,26,50,63,79,31,20,62,48,94,8,46,54,58,31,69,78,82,45,40,74,46
7,93,16,42,43,18,71,33,99,76,75,88,94,95,17,12,9,17,33,85,92,43,32,55,87,68,31,99,2,18,59,70,56,71,41,14,2,4,23,13,29,98,6,74,53,69,82,29,16,15,1,82,96,58,82,41,65,69,3,84,62,46,47,41,44,27,99,47,39,34,13,46,47,62,40,95,95,76,64,11,89,73,60,82,45,88,77,54,39,50,88,41,54,48,66,82,0,45,9,48,77,8,50,71,29,54,91,3,28,28,95,87,83,99,88,73,66,45,8,32,34,45
8,7,72,99,97,85,67,47,13,30,58,88,82,60,88,13,17,59,35,22,57,62,56,37,56,74,18,97,9,76,33,28,67,83,41,31,23,31,74,15,54,98,71,56,53,54,22,85,22,96,64,32,53,73,90,24,73,61,94,37,29,44,75,4,25,35,82,46,38,83,3,73,80,75,32,90,13,94,45,8,64,56,12,31,69,76,34,34,16,3,39,40,73,58,65,1,95,50,51,25,56,81,69,27,68,37,21,4,73,13,46,49,80,8,75,39,22,57,24,86,20,69
9,19,32,4,16,54,42,94,99,30,42,90,16,0,70,27,50,12,30,93,60,8,95,75,79,75,24,95,32,22,41,93,30,61,80,56,6,50,48,19,69,1,74,44,13,9,32,9,54,45,42,63,95,12,88,89,48,60,77,77,93,95,74,85,49,9,76,12,20,52,88,7,44,51,82,86,79,74,81,44,83,10,41,3,37,5,53,69,51,2,76,97,53,52,52,0,10,78,12,45,22,88,80,45,70,38,5,40,67,5,36,87,57,81,45,99,66,2,76,24,78,24
